iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
1,1539.2411268252463,884.3661661163928,811.304169779006,735.1120290424163,2,2,1.5429654121398926,0.03788638266208407,0.002096558149886551
2,6.776695100078676,6.035123157366767,14107.236769515432,12485.3298841261,2,2,1.5599191188812256,0.03788638266208407,0.002096558149886551
3,0.7832598798768293,0.7006131327731235,1204.8752643190023,1073.977082088038,2,2,1.5738821029663086,0.03788638266208407,0.002096558149886551
4,0.28475274960757324,0.23685970694352856,285.47119251975255,262.4948156849848,2,2,1.5898394584655762,0.03788638266208407,0.002096558149886551
5,6467.513250072095,3669.9931479934116,3057.1071620032335,2733.7626319561086,2,2,1.6057968139648438,0.03788638266208407,0.002096558149886551
6,0.5694119868356069,1.8883336370396901,102.79850410876372,103.39904260462794,2,2,1.6207568645477295,0.03788638266208407,0.002096558149886551
7,0.24456895302329823,0.2045312241807704,239.7484787665255,222.29071812364185,2,2,1.6516735553741455,0.03788638266208407,0.002096558149886551
8,0.08173334973062227,0.9136057601520992,102.89871905892944,103.2461017124361,2,2,1.6726188659667969,0.03788638266208407,0.002096558149886551
9,0.9613519424959078,32.86505647590839,103.15211127546145,105.18206408114672,4,2,2.6814157962799072,0.03788638266208407,0.002096558149886551
10,47.77776842583295,14.81155077796601,102.61424745057577,106.83362796154327,8,2,3.659799098968506,0.03788638266208407,0.002096558149886551
11,19875.55426844196,39250.05530425646,36786.14776072835,24830.268653200907,8,2,3.6757566928863525,0.03788638266208407,0.002096558149886551
12,87.13807186785891,96.32998479733286,177.27250317131006,164.51729891904338,8,2,3.7007038593292236,0.03788638266208407,0.002096558149886551
13,47.82800416831552,15.002066638711934,102.2320738370674,106.90824876766138,8,2,3.7216336727142334,0.03788638266208407,0.002096558149886551
14,47.84046378271754,15.100628391926405,102.1280406434112,107.00289342307366,8,2,3.737591505050659,0.03788638266208407,0.002096558149886551
15,47.82519464242549,15.145411303580504,102.06196986909164,107.02432265400046,8,2,3.753549098968506,0.03788638266208407,0.002096558149886551
16,47.69468350232125,15.287794937513445,101.80915989847698,106.98289919156416,8,2,3.769505262374878,0.03788638266208407,0.002096558149886551
17,47.419535091913474,15.60293022435533,101.30947247421852,106.6214637876668,8,2,3.7864603996276855,0.03788638266208407,0.002096558149886551
18,46.42336823523905,16.559338586111707,99.12913622203283,104.46084700873384,8,2,3.8024179935455322,0.03788638266208407,0.002096558149886551
19,23.364564358194382,0.8491598520600151,1335.03887501553,895.4671831456155,8,2,3.8183746337890625,0.03788638266208407,0.002096558149886551
20,45.53637210405478,16.993889367420838,97.12525830260802,102.37063618788576,8,2,3.834332227706909,0.03788638266208407,0.002096558149886551
21,44.651585876026665,17.15190735760783,95.14659243253033,100.27553160577305,8,2,3.8542792797088623,0.03788638266208407,0.002096558149886551
